案例ID,阶段,检查目标,输入条件,参考来源,预期行为,门槛类别,执行状态
A01,A,单级线性增益,G=20dB；Pin=-60dBm；匹配,解析及商用Friis,Pout=-40dBm；增益20dB,标量,实现及内部验证已覆盖；外部对标待执行
A02,A,两级噪声,G1=G2=10dB；NF1=NF2=3dB；T0=290K,独立Friis解析及商用结果,逐级F和系统NF一致,标量,实现及内部验证已覆盖；外部对标待执行
A03,A,损耗位置,相同衰减器分别位于LNA前后,解析及商用Friis,总增益相同；噪声差异正确,标量,实现及内部验证已覆盖；外部对标待执行
A04,A,温度口径,源100/290/600K；无源器件物理温度独立变化,kTB与热无源解析,源噪声和NF参考温度不混用,标量,实现及内部验证已覆盖；外部对标待执行
A05,A,IP3参考,同一器件分别用IIP3和OIP3输入,相同参考条件的商用结果,转换及级联IIP3一致,标量,实现及内部验证已覆盖；外部对标待执行
A06,A,双音弱激励,每音功率扫描；远离压缩；平坦带内,解析及同模型商业双音,基波1dB/dB；IM3为3dB/dB；每音/总功率正确,标量,实现及内部验证已覆盖；外部对标待执行
A07,A,未知与理想,缺NF、缺P1、理想、禁用分别运行,显式状态真值表,不把缺失变成0或理想；依赖分别失效,状态,实现及内部验证已覆盖；外部对标待执行
B01,B,频率查表,RF与IF不同频段；增益/NF随频率表,独立插值与商用频扫,每级使用其本地频率；禁止越界静默外推,插值,实现及内部验证已覆盖；外部对标待执行
B02,B,匹配线性极限,S11=S22=S12=0；已知S21,解析及独立网络工具,退化到标量增益,网络,实现及内部验证已覆盖；外部对标待执行
B03,B,双向失配,已知两端口；改变中间相位/线长,商业S网络与独立解析,反射导致的增益变化正确；不能只加S21的dB,网络,实现及内部验证已覆盖；外部对标待执行
B04,B,Touchstone口径,RI/MA/DB、GHz/MHz、不同Z0与端口顺序,IBIS规范合规样例,不同编码表示同一复数网络；不支持格式明确拒绝,文件,实现及内部验证已覆盖；外部对标待执行
B05,B,噪声参数,Fmin、GammaOpt、Rn；不同源反射系数,独立噪声解析及商业模型,源失配噪声变化正确；无噪声数据不伪造,噪声,实现及内部验证已覆盖；外部对标待执行
B06,B,带内噪声,热源白噪声与起伏滤波响应,独立频率积分,积分网格加密后收敛；不用中心频点乘带宽代替,积分,实现及内部验证已覆盖；外部对标待执行
C01,C,同曲线单音,相同AMAM表及插值规则,商用AMAM表模型,Pout曲线与P1在有效范围内一致,同曲线,实现及内部验证已覆盖；外部对标待执行
C02,C,多级压缩,相同器件曲线串联；软饱和解析反例,独立传播/闭式及同模型商业结果,按实际级间功率传播；系统P1不取最弱阈值,同曲线,实现及内部验证已覆盖；外部对标待执行
C03,C,双音模型一致性,相同AMAM/AMPM模型；功率与音间隔扫描,商业行为模型及独立频谱法,基波、IM3、压缩共同可复现；报告适用域,收敛,实现及内部验证已覆盖；外部对标待执行
C04,C,曲线留出,未参与拟合的功率/频率/温度点,独立器件测量,报告最大/RMS误差与数据覆盖；不只报训练残差,实测,对标误差汇总已实现；独立实测数据待提供
D01,D,高低侧LO,同一RF分别低侧和高侧LO,解析及目标混频模型,输出频率、频谱翻转和镜像通道正确,变频,实现及内部验证已覆盖；外部对标待执行
D02,D,混频杂散,带RF/LO测试条件的IMT表,商业IMT模型,匹配对应mRF+nLO分量；来源可追溯,杂散,实现及内部验证已覆盖；外部对标待执行
D03,D,选择性与阻塞,两个带外干扰穿过滤波器后进入非线性器件,ADI解析适用例及商业谱模型,分别滤波基波与互调；解释主要贡献级,频谱,实现及内部验证已覆盖；外部对标待执行
D04,D,镜像噪声折叠,改变镜像终端噪声/滤波/转换增益,同口径商业HB或独立噪声模型,按实际通道求和；不无条件加减3dB,噪声,实现及内部验证已覆盖；外部对标待执行
D05,D,非线性收敛,复包络FFT采样率加倍；所比较分量差值阈值,独立收敛扫描,结果稳定；未收敛不得输出通过,收敛,实现及内部验证已覆盖；外部对标待执行
E01,E,宽带记忆模型,对齐输入/输出IQ；多个带宽/功率留出集,商业相同模型及独立IQ测量,验证波形误差、EVM和邻道指标；功率归一化一致,实测,合成IQ训练/隔离留出验证已执行；实际多条件留出待提供
